what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.core,2.1.0.dist,"org.eclipse.equinox.p2.core",1331912779275
started,bundle,org.eclipse.equinox.p2.director,2.1.0.dist,"org.eclipse.equinox.p2.director",1331912779276
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.dist,"org.eclipse.equinox.p2.directorywatcher",1331912779277
started,bundle,org.eclipse.equinox.p2.engine,2.1.0.dist,"org.eclipse.equinox.p2.engine",1331912779277
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.100.dist,"org.eclipse.equinox.p2.extensionlocation",1331912779277
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.dist,"org.eclipse.equinox.p2.garbagecollector",1331912779277
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.dist,"org.eclipse.equinox.p2.metadata",1331912779278
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.dist,"org.eclipse.equinox.p2.metadata.repository",1331912779278
started,bundle,org.eclipse.equinox.p2.operations,2.1.0.dist,"org.eclipse.equinox.p2.operations",1331912779278
started,bundle,org.eclipse.equinox.p2.publisher,1.2.0.dist,"org.eclipse.equinox.p2.publisher",1331912779279
started,bundle,org.eclipse.equinox.p2.publisher.eclipse,1.0.0.dist,"org.eclipse.equinox.p2.publisher.eclipse",1331912779279
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.dist,"org.eclipse.equinox.p2.reconciler.dropins",1331912779279
started,bundle,org.eclipse.equinox.p2.repository,2.1.0.dist,"org.eclipse.equinox.p2.repository",1331912779279
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.1.0.dist,"org.eclipse.equinox.p2.touchpoint.eclipse",1331912779280
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.dist,"org.eclipse.equinox.p2.ui.sdk.scheduler",1331912779280
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.dist,"org.eclipse.equinox.p2.updatechecker",1331912779280
started,bundle,org.eclipse.equinox.preferences,3.4.0.dist,"org.eclipse.equinox.preferences",1331912779281
started,bundle,org.eclipse.equinox.registry,3.5.100.dist,"org.eclipse.equinox.registry",1331912779281
started,bundle,org.eclipse.equinox.security,1.1.0.dist,"org.eclipse.equinox.security",1331912779281
started,bundle,org.eclipse.equinox.util,1.0.300.dist,"org.eclipse.equinox.util",1331912779282
started,bundle,org.eclipse.help,3.5.100.dist,"org.eclipse.help",1331912779282
started,bundle,org.eclipse.jface,3.7.0.dist,"org.eclipse.jface",1331912779282
started,bundle,org.eclipse.jsch.core,1.1.300.dist,"org.eclipse.jsch.core",1331912779282
started,bundle,org.eclipse.ltk.core.refactoring,3.5.200.dist,"org.eclipse.ltk.core.refactoring",1331912779282
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.dist,"org.eclipse.ltk.ui.refactoring",1331912779282
started,bundle,org.eclipse.team.core,3.6.0.dist,"org.eclipse.team.core",1331912779282
started,bundle,org.eclipse.team.cvs.core,3.3.400.dist,"org.eclipse.team.cvs.core",1331912779282
started,bundle,org.eclipse.team.cvs.ui,3.3.400.dist,"org.eclipse.team.cvs.ui",1331912779282
started,bundle,org.eclipse.team.ui,3.6.100.dist,"org.eclipse.team.ui",1331912779283
started,bundle,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui",1331912779283
started,bundle,org.eclipse.ui.console,3.5.100.dist,"org.eclipse.ui.console",1331912779283
started,bundle,org.eclipse.ui.editors,3.7.0.dist,"org.eclipse.ui.editors",1331912779283
started,bundle,org.eclipse.ui.forms,3.5.100.dist,"org.eclipse.ui.forms",1331912779283
started,bundle,org.eclipse.ui.ide,3.7.0.dist,"org.eclipse.ui.ide",1331912779283
started,bundle,org.eclipse.ui.intro,3.4.100.dist,"org.eclipse.ui.intro",1331912779283
started,bundle,org.eclipse.ui.intro.universal,3.2.500.dist,"org.eclipse.ui.intro.universal",1331912779283
started,bundle,org.eclipse.ui.navigator,3.5.100.dist,"org.eclipse.ui.navigator",1331912779284
started,bundle,org.eclipse.ui.net,1.2.100.dist,"org.eclipse.ui.net",1331912779284
started,bundle,org.eclipse.ui.views,3.6.0.dist,"org.eclipse.ui.views",1331912779284
started,bundle,org.eclipse.ui.workbench,3.7.0.dist,"org.eclipse.ui.workbench",1331912779284
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.dist,"org.eclipse.ui.workbench.texteditor",1331912779284
started,bundle,org.eclipse.update.configurator,3.3.100.dist,"org.eclipse.update.configurator",1331912779284
started,bundle,org.eclipse.update.core,3.2.500.dist,"org.eclipse.update.core",1331912779284
started,bundle,org.eclipse.update.scheduler,3.2.300.dist,"org.eclipse.update.scheduler",1331912779284
started,bundle,org.eclipse.jdt.apt.core,3.3.500.dist,"org.eclipse.jdt.apt.core",1331912779284
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.dist,"org.eclipse.jdt.apt.pluggable.core",1331912779285
started,bundle,org.eclipse.jdt.core,3.7.0.dist,"org.eclipse.jdt.core",1331912779285
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.dist,"org.eclipse.jdt.core.manipulation",1331912779285
started,bundle,org.eclipse.jdt.junit,3.7.0.dist,"org.eclipse.jdt.junit",1331912779285
started,bundle,org.eclipse.jdt.launching,3.6.0.dist,"org.eclipse.jdt.launching",1331912779285
started,bundle,org.eclipse.jdt.ui,3.7.0.dist,"org.eclipse.jdt.ui",1331912779285
started,bundle,org.eclipse.pde.core,3.7.0.dist,"org.eclipse.pde.core",1331912779285
started,bundle,org.eclipse.pde.launching,3.6.0.dist,"org.eclipse.pde.launching",1331912779285
started,bundle,org.eclipse.pde.ui,3.6.100.dist,"org.eclipse.pde.ui",1331912779285
started,bundle,org.eclipse.ui.views.log,1.0.200.dist,"org.eclipse.ui.views.log",1331912779285
started,bundle,org.eclipse.actf.model.ui,0.9.2.R201202151037,"org.eclipse.actf.model.ui",1331912779285
started,bundle,org.eclipse.actf.ui,0.9.2.R201202151037,"org.eclipse.actf.ui",1331912779285
started,bundle,org.eclipse.actf.visualization.blind,0.9.2.R201202151037,"org.eclipse.actf.visualization.blind",1331912779285
started,bundle,org.eclipse.actf.visualization.gui,0.9.2.R201202151037,"org.eclipse.actf.visualization.gui",1331912779285
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1331912779285
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1331912779285
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1331912779286
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1331912779286
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1331912779286
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1331912779286
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1331912779286
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1331912779286
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1331912779286
started,bundle,org.eclipse.dltk.core,3.0.1.v20110823,"org.eclipse.dltk.core",1331912779286
started,bundle,org.eclipse.dltk.launching,3.0.0.v20110423,"org.eclipse.dltk.launching",1331912779286
started,bundle,org.eclipse.dltk.rse.core,2.0.0.v20101211-0331,"org.eclipse.dltk.rse.core",1331912779286
started,bundle,org.eclipse.dltk.rse.ui,2.0.0.v20101212-1106,"org.eclipse.dltk.rse.ui",1331912779286
started,bundle,org.eclipse.dltk.ui,3.0.1.v20110823,"org.eclipse.dltk.ui",1331912779286
